ID,Typ cery,Wrażliwa,Główny problem,Poboczny problem,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
13,Tłusta,1,Przebarwienia,Niedoskonałości,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
14,Normalna,0,Przebarwienia,Brak,17,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
15,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
16,Normalna,0,Przebarwienia,Podrażnienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,Brak
17,Tłusta,1,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
18,Tłusta,1,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
19,Sucha,0,Suche skórki,Szara cera,24,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
20,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
21,Sucha,1,Szara cera,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi - Delicate Care - Kojący Krem Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
22,Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
23,Normalna,1,Widoczne naczynka,Brak,21,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
24,Sucha,1,Widoczne naczynka,Brak,20,Żel Tołpa Dermo Face Physio,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
25,Normalna,1,Widoczne naczynka,Suche skórki,21,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,SVR Sensifine AR,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
26,Tłusta,0,Nadprodukcja sebum,Niedoskonałości,21,CeraVe Wygładzający Żel do Mycia,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bandi - Delicate Care - Kojący Krem Matujący,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Professional SupremeLAB Microbiome Ratunkowa Maseczka,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
27,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,CeraVe Wygładzający Żel do Mycia,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Sebiaclear Hydra,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
28,Mieszana,1,Nadprodukcja sebum,Niedoskonałości,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
29,Tłusta,0,Niedoskonałości,Przebarwienia,20,Neutrogena Visibly Clear Clear & Defend Facial Wash,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Avene Cleanance Women,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
30,Mieszana,0,Niedoskonałości,Podrażnienie,17,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,Brak
31,Tłusta,0,Niedoskonałości,Brak,20,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin
32,Mieszana,0,Niedoskonałości,Podrażnienie,21,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
33,Normalna,0,Podrażnienie,Brak,20,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
34,Mieszana,0,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
35,Mieszana,0,Podrażnienie,Brak,20,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
36,Normalna,0,Podrażnienie,Suche skórki,20,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
37,Mieszana,1,Podrażnienie,Suche skórki,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
38,Mieszana,0,Podrażnienie,Brak,24,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Floslek SUN CARE Krem-żel anti-spot SPF 50,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
39,Tłusta,1,Niedoskonałości,Brak,17,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin
40,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
41,Normalna,0,Przebarwienia,Brak,17,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
42,Sucha,1,Przebarwienia,Brak,20,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
43,Normalna,0,Przebarwienia,Podrażnienie,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,MIYA Serum z witaminą C na przebarwienia,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
44,Tłusta,0,Rozszerzone pory,Brak,18,BIELENDA CBD Cannabidiol,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
45,Tłusta,0,Rozszerzone pory,Przebarwienia,18,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
46,Sucha,1,Suche skórki,Szara cera,24,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Skin79 Waterproof Sun Gel Krem ochronny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
47,Normalna,0,Szara cera,Brak,18,Żel Tołpa Dermo Face Physio,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,CeraVe Nawilżający Krem do Twarzy,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
